subject,tense,person,gender,animate,number,active,honorific,verb_root
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,ආහ
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අහ
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති
අපි,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අමු
අපි,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එමු
අපි,අනාගත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අන්නෙමු
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,ආහ
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අයි
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ඊය
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ආහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ඌහ
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අන්නාය
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,ආහ
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,එති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඊහ
3rd_person,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඉති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඊහ
3rd_person,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එති
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අති
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඕය
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඌහ
3rd_person,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ආහ
3rd_person,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,y,n,ඉති
