subject,tense,person,gender,animate,number,active,honorific,verb_root,is_correct,,,,,,,,,,,
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති,1,,,,,,,,,,,
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අහ,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අහ,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,ඌහ,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,එති,1,,,,,,,,,,,
3rd_person,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,y,y,අති,1,,,,,,,,,,,
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති,1,,,,,,,,,,,
3rd_person,වර්තමාන,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අහ,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අහ,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,එති,1,,,,,,,,,,,
3rd_person,අතීත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,ඌහ,1,,,,,,,,,,,
3rd_person,අනාගත,ප්‍රථම,පුරුෂ,ප්‍රාණවාචි,බහු,y,y,අති,1,,,,,,,,,,,
අපි,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අමු,1,,,,,,,,,,,
අපි,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,එමු,1,,,,,,,,,,,
අපි,අනාගත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,y,n,අන්නෙමු,1,,,,,,,,,,,
3rd_person,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,y,n,අයි,1,,,,,,,,,,,
