subject,honorific,tense,person,gender,animate,number,verb_root,is_correct
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
අක්කණ්ඩි,y,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමි,0
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමු,0
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අහු,0
අක්කණ්ඩි,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආය,0
අක්කණ්ඩි,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආහ,1
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ඊය,0
අක්කණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,එහි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අති,0
අපි,n,අනාගත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අන්නෙමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එති,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමු,1
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
අපි,n,අතීත,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
අපි,n,වර්තමාන,උත්තම,නොමැත,ප්‍රාණවාචි,බහු,ඕය,0
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
අම්මණ්ඩි,y,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අති,1
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමි,0
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අමු,0
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
අම්මණ්ඩි,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අයි,0
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,අහු,0
අම්මණ්ඩි,y,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ආහ,1
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,ඊය,0
අම්මණ්ඩි,y,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,බහු,එහි,0
අම්මා,n,අනාගත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අන්නාය,1
අම්මා,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අයි,1
අම්මා,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,අහ,1
අම්මා,n,අතීත,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ආය,0
අම්මා,n,වර්තමාන,ප්‍රථම,ස්ත්‍රී,ප්‍රාණවාචි,ඒක,ඊය,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
අයෙක්,n,අනාගත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අති,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමි,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අමු,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අයි,0
අයෙක්,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහ,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,අහු,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආය,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ආහ,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඉති,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊය,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඊහ,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඌහ,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එති,1
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමි,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එමු,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහි,0
අයෙක්,n,වර්තමාන,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,එහු,0
අයෙක්,n,අතීත,ප්‍රථම,නොමැත,ප්‍රාණවාචි,බහු,ඒය,0
